"","sample_id","group","region","label"
"1","GSM119615","Control","EC","ec_control_1"
"2","GSM119616","Control","EC","ec_control_2"
"3","GSM119617","Control","EC","ec_control_3"
"4","GSM119618","Control","EC","ec_control_4"
"5","GSM119619","Control","EC","ec_control_5"
"6","GSM119620","Control","EC","ec_control_6"
"7","GSM119621","Control","EC","ec_control_7"
"8","GSM119622","Control","EC","ec_control_8"
"9","GSM119623","Control","EC","ec_control_9"
"10","GSM119624","Control","EC","ec_control_10"
"11","GSM119625","Control","EC","ec_control_11"
"12","GSM119626","Control","EC","ec_control_12"
"13","GSM119627","Control","EC","ec_control_13"
"14","GSM119628","Control","HIP","hip_control_1"
"15","GSM119629","Control","HIP","hip_control_2"
"16","GSM119630","Control","HIP","hip_control_3"
"17","GSM119631","Control","HIP","hip_control_4"
"18","GSM119632","Control","HIP","hip_control_5"
"19","GSM119633","Control","HIP","hip_control_6"
"20","GSM119634","Control","HIP","hip_control_7"
"21","GSM119635","Control","HIP","hip_control_8"
"22","GSM119636","Control","HIP","hip_control_9"
"23","GSM119637","Control","HIP","hip_control_10"
"24","GSM119638","Control","HIP","hip_control_11"
"25","GSM119639","Control","HIP","hip_control_12"
"26","GSM119640","Control","HIP","hip_control_13"
"27","GSM119641","Control","MTG","mtg_control_1"
"28","GSM119642","Control","MTG","mtg_control_2"
"29","GSM119643","Control","MTG","mtg_control_3"
"30","GSM119644","Control","MTG","mtg_control_4"
"31","GSM119645","Control","MTG","mtg_control_5"
"32","GSM119646","Control","MTG","mtg_control_6"
"33","GSM119647","Control","MTG","mtg_control_7"
"34","GSM119648","Control","MTG","mtg_control_8"
"35","GSM119649","Control","MTG","mtg_control_9"
"36","GSM119650","Control","MTG","mtg_control_10"
"37","GSM119651","Control","MTG","mtg_control_11"
"38","GSM119652","Control","MTG","mtg_control_12"
"39","GSM119653","Control","PC","pc_control_1"
"40","GSM119654","Control","PC","pc_control_2"
"41","GSM119655","Control","PC","pc_control_3"
"42","GSM119656","Control","PC","pc_control_4"
"43","GSM119657","Control","PC","pc_control_5"
"44","GSM119658","Control","PC","pc_control_6"
"45","GSM119659","Control","PC","pc_control_7"
"46","GSM119660","Control","PC","pc_control_8"
"47","GSM119661","Control","PC","pc_control_9"
"48","GSM119662","Control","PC","pc_control_10"
"49","GSM119663","Control","PC","pc_control_11"
"50","GSM119664","Control","PC","pc_control_12"
"51","GSM119665","Control","PC","pc_control_13"
"52","GSM119666","Control","SFG","sfg_control_1"
"53","GSM119667","Control","SFG","sfg_control_2"
"54","GSM119668","Control","SFG","sfg_control_3"
"55","GSM119669","Control","SFG","sfg_control_4"
"56","GSM119670","Control","SFG","sfg_control_5"
"57","GSM119671","Control","SFG","sfg_control_6"
"58","GSM119672","Control","SFG","sfg_control_7"
"59","GSM119673","Control","SFG","sfg_control_8"
"60","GSM119674","Control","SFG","sfg_control_9"
"61","GSM119675","Control","SFG","sfg_control_10"
"62","GSM119676","Control","SFG","sfg_control_11"
"63","GSM119677","Control","VCX","vcx_control_1"
"64","GSM119678","Control","VCX","vcx_control_2"
"65","GSM119679","Control","VCX","vcx_control_3"
"66","GSM119680","Control","VCX","vcx_control_4"
"67","GSM119681","Control","VCX","vcx_control_5"
"68","GSM119682","Control","VCX","vcx_control_6"
"69","GSM119683","Control","VCX","vcx_control_7"
"70","GSM119684","Control","VCX","vcx_control_8"
"71","GSM119685","Control","VCX","vcx_control_9"
"72","GSM119686","Control","VCX","vcx_control_10"
"73","GSM119687","Control","VCX","vcx_control_11"
"74","GSM119688","Control","VCX","vcx_control_12"
"75","GSM238763","AD","EC","ec_affected_1"
"76","GSM238790","AD","EC","ec_affected_2"
"77","GSM238791","AD","EC","ec_affected_3"
"78","GSM238792","AD","EC","ec_affected_4"
"79","GSM238793","AD","EC","ec_affected_5"
"80","GSM238794","AD","EC","ec_affected_6"
"81","GSM238795","AD","EC","ec_affected_7"
"82","GSM238796","AD","EC","ec_affected_8"
"83","GSM238797","AD","EC","ec_affected_9"
"84","GSM238798","AD","EC","ec_affected_10"
"85","GSM238799","AD","HIP","hip_affected_1"
"86","GSM238800","AD","HIP","hip_affected_2"
"87","GSM238801","AD","HIP","hip_affected_3"
"88","GSM238802","AD","HIP","hip_affected_4"
"89","GSM238803","AD","HIP","hip_affected_5"
"90","GSM238804","AD","HIP","hip_affected_6"
"91","GSM238805","AD","HIP","hip_affected_7"
"92","GSM238806","AD","HIP","hip_affected_8"
"93","GSM238807","AD","HIP","hip_affected_9"
"94","GSM238808","AD","HIP","hip_affected_10"
"95","GSM238809","AD","MTG","mtg_affected_1"
