"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","GENENAME"
"231835_at",-3.15205574149085,9.46210803432861,-12.8850580107013,2.05659376112722e-26,1.03654382154573e-21,48.3671142936494,"PRXL2B","127281","peroxiredoxin like 2B"
"1553993_s_at",-3.54820652746711,8.73541678286589,-10.6191178881521,3.26281613094584e-20,8.22245979079006e-16,34.841566300142,"MED25","81857","mediator complex subunit 25"
"210589_s_at",-2.86695566895925,8.46993511065286,-9.5592045012656,2.30133767918742e-17,3.86632401229084e-13,28.6030713561565,"GBA1LP","2630","glucosylceramidase beta 1 like, pseudogene"
"225535_s_at",-2.69620167599998,10.8565691482712,-9.19721708601449,2.08429064895967e-16,2.6262583249554e-12,26.5049583594314,"TIMM23","100287932","translocase of inner mitochondrial membrane 23"
"39729_at",-3.17595621474516,11.4401075767836,-9.00110900817543,6.80963292018966e-16,6.86424617620958e-12,25.3773977673645,"PRDX2","7001","peroxiredoxin 2"
"227186_s_at",-3.42580841693879,10.2996899116746,-8.95014633169593,9.25134633983587e-16,7.77128511456779e-12,25.0855270620721,"MRPL41","64975","mitochondrial ribosomal protein L41"
"209058_at",-2.63539206823316,11.5487052725851,-8.9201808516027,1.10751169530809e-15,7.97424242217473e-12,24.9141408079375,"EDF1","8721","endothelial differentiation related factor 1"
"223715_at",-2.60334044546002,8.59439503252974,-8.85295587599893,1.65715335110094e-15,1.04402732561048e-11,24.530284733032,"BRSK2","9024","BR serine/threonine kinase 2"
"50374_at",-1.91906624520315,8.67599029659933,-8.60370505655451,7.32084055872749e-15,4.09975205556027e-11,23.1150984861516,"OXLD1","339229","oxidoreductase like domain containing 1"
"221797_at",-3.80701289420903,6.68395774546978,-8.58043879556534,8.40381057397916e-15,4.23560456739124e-11,22.9836753206734,"OXLD1","339229","oxidoreductase like domain containing 1"
"222513_s_at",2.46036483379313,8.70917553821837,8.52021138451546,1.20037668176994e-14,5.50001683071698e-11,22.6440324480139,"SORBS1","10580","sorbin and SH3 domain containing 1"
"205914_s_at",-5.19472377001788,4.69140955745062,-8.43241908850281,2.01534944401049e-14,8.46463561063107e-11,22.1504248337487,"GRIN1","2902","glutamate ionotropic receptor NMDA type subunit 1"
"209820_s_at",-3.70096058738499,6.31869229105225,-8.35832596641329,3.11622084159526e-14,1.16319112336371e-10,21.7352485123617,"TBL3","10607","transducin beta like 3"
"228943_at",-3.14506366478135,8.89367575298689,-8.35216504283624,3.23102234620186e-14,1.16319112336371e-10,21.7007854505945,"MAP6","4135","microtubule associated protein 6"
"227778_at",-2.26059239544338,8.33589384000694,-8.18961240724592,8.36276904747523e-14,2.80994615174533e-10,20.7948862344139,"MROH1","727957","maestro heat like repeat family member 1"
"224903_at",-2.26923974043933,9.15896052410556,-8.1660633651639,9.59251014428322e-14,3.02170064863761e-10,20.664202991862,"UTP4","84916","UTP4 small subunit processome component"
"201459_at",-3.42848373892045,7.91142012880024,-8.14830042474607,1.06373119747412e-13,3.15371271081723e-10,20.5657243573867,"RUVBL2","10856","RuvB like AAA ATPase 2"
"225969_at",-2.55105696975512,9.20507167400276,-8.08672005292846,1.52124901157081e-13,4.25958174623224e-10,20.2249611557651,"ALKBH6","84964","alkB homolog 6"
"211752_s_at",-2.23497752620936,8.36801358504792,-8.05704517297742,1.80679305075974e-13,4.79285139743904e-10,20.0611113854604,"NDUFS7","374291","NADH:ubiquinone oxidoreductase core subunit S7"
"218840_s_at",-3.72754250699787,6.28098229315663,-8.00847753108841,2.39303489213691e-13,5.90273712288702e-10,19.7934589888039,"NADSYN1","55191","NAD synthetase 1"
"205454_at",-3.09884307125892,8.08408072315761,-8.00374175770427,2.45942500308778e-13,5.90273712288702e-10,19.7673949750743,"HPCA","3208","hippocalcin"
"204000_at",-2.4618162669374,10.4502477265298,-7.9749972791817,2.90341482941224e-13,6.6515914007821e-10,19.6093281868885,"GNB5","10681","G protein subunit beta 5"
"235213_at",4.12041895339419,7.42078202325933,7.8718125494395,5.25757664555645e-13,1.15211791527257e-09,19.0438175100343,"ITPKB","3707","inositol-trisphosphate 3-kinase B"
"236656_s_at",-2.07100589784876,9.74373264434039,-7.83927311110646,6.33614679256812e-13,1.33061722705094e-09,18.8661127629811,"CRIM1-DT","100288911","CRIM1 divergent transcript"
"230972_at",-2.15440152186134,9.95093961360667,-7.82722577384649,6.78882072100314e-13,1.36865341263712e-09,18.8003975850254,"ANKRD9","122416","ankyrin repeat domain 9"
"209516_at",-3.56695751839859,6.04945302888503,-7.79794703381352,8.0269292044626e-13,1.51138822365994e-09,18.6408663312962,"SMYD5","10322","SMYD family member 5"
"231783_at",-3.63662178007078,8.01942593345223,-7.79643620944014,8.09656198067864e-13,1.51138822365994e-09,18.6326411251585,"CHRM1","1128","cholinergic receptor muscarinic 1"
"226597_at",-3.04149409402522,6.83392274125839,-7.76075004597532,9.92699428881557e-13,1.78689442553783e-09,18.43855547287,"REEP6","92840","receptor accessory protein 6"
"212281_s_at",-3.2337275326019,8.29455917298221,-7.74149236502804,1.10793638105492e-12,1.92555522557066e-09,18.3339766140103,"TMEM97","27346","transmembrane protein 97"
"212576_at",-2.12925753415307,8.63399562705371,-7.65634434754372,1.79807761467514e-12,3.02083032857473e-09,17.8729240773951,"MGRN1","23295","mahogunin ring finger 1"
"47560_at",-2.29951037979852,9.56306315280068,-7.60577307152782,2.39461910552606e-12,3.89326443669738e-09,17.6001499245974,"ADGRL1","22859","adhesion G protein-coupled receptor L1"
"208336_s_at",-3.15738960150683,8.55484530036127,-7.52912069164714,3.69108187614347e-12,5.74904178376883e-09,17.1882315182584,"TECR","9524","trans-2,3-enoyl-CoA reductase"
"45828_at",-1.7589077788413,9.21253744412028,-7.52563867686664,3.76417886280771e-12,5.74904178376883e-09,17.1695641772878,"DMAC2","55101","distal membrane arm assembly component 2"
"220744_s_at",-3.76991631332606,6.72934744054155,-7.50567808902751,4.21170441304277e-12,6.24335629769907e-09,17.062629362874,"IFT122","55764","intraflagellar transport 122"
"222068_s_at",-3.01029043557933,6.79865902038287,-7.49354703851821,4.50900412746774e-12,6.4930947722429e-09,16.9977026643064,"DNAAF1","123872","dynein axonemal assembly factor 1"
"203190_at",-2.36385495042209,9.22286774707662,-7.46077858289861,5.41990267740373e-12,7.58801430121737e-09,16.8225618563371,"NDUFS8","4728","NADH:ubiquinone oxidoreductase core subunit S8"
"217817_at",-2.59022692316287,8.80683882003962,-7.43181217774199,6.37529648607184e-12,8.44500813216644e-09,16.6680355967729,"ARPC4","10093","actin related protein 2/3 complex subunit 4"
"202471_s_at",-2.69747262027014,7.99646442811141,-7.4288031469456,6.48362383507513e-12,8.44500813216644e-09,16.6519992947751,"IDH3G","3421","isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma"
"210720_s_at",-2.31246971508289,8.262105735772,-7.42740165813257,6.53469806461164e-12,8.44500813216644e-09,16.6445312370393,"NECAB3","63941","N-terminal EF-hand calcium binding protein 3"
"202074_s_at",-1.8155555625027,9.83293446131072,-7.4228780831735,6.7022807283492e-12,8.4450412747382e-09,16.6204310884195,"OPTN","10133","optineurin"
"218225_at",-2.52596537699836,7.41168568391647,-7.41159776286807,7.13892210778921e-12,8.77582471108986e-09,16.5603628001151,"ECSIT","51295","ECSIT signaling integrator"
