"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","GENENAME"
"227612_at",2.89335489172852,11.0590097057074,8.59911838578346,7.5227542839902e-15,2.84822155916425e-10,22.9307321536901,"ELAVL3","1995","ELAV like RNA binding protein 3"
"1316_at",2.85851500258678,8.90742457850314,8.53039408470055,1.13022422537817e-14,2.84822155916425e-10,22.5472882836716,"THRA","7067","thyroid hormone receptor alpha"
"212451_at",2.57359008826613,9.9917263347998,7.91038137409188,4.21263112594784e-13,7.0773607126299e-09,19.138380906611,"SECISBP2L","9728","SECIS binding protein 2 like"
"220617_s_at",-2.45033682873603,7.27114073130589,-7.82073848602979,7.04570345631792e-13,8.87776249754699e-09,18.6537859060891,"ZNF532","55205","zinc finger protein 532"
"229312_s_at",2.92905564788959,8.42992240768119,7.774018468321,9.20292852205082e-13,9.27673600879767e-09,18.4021296759235,"GKAP1","80318","G kinase anchoring protein 1"
"243683_at",3.35034446912428,7.1077087537197,7.42400695809832,6.66006598467343e-12,5.5138405095692e-08,16.5376249200418,"MORF4L2","9643","mortality factor 4 like 2"
"225197_at",-2.26886741997759,7.94974197391523,-7.39904475680708,7.6579598751978e-12,5.5138405095692e-08,16.4061210188669,"HAPSTR1","29035","HUWE1 associated protein modifying stress responses"
"226018_at",-2.24290087822971,9.53516406114961,-7.23517355147316,1.90477183811266e-11,1.20003006765895e-07,15.5479669190955,"MTURN","222166","maturin, neural progenitor differentiation regulator homolog"
"225660_at",2.90768552999354,8.81143547627814,7.14353986269831,3.15735927095232e-11,1.76815627350298e-07,15.0721046983344,"SEMA6A","57556","semaphorin 6A"
"1569126_at",3.04354567549154,6.14265876544424,7.09583325613919,4.10264910457694e-11,1.94053759629684e-07,14.8255309280304,"CCNC","892","cyclin C"
"1552482_at",3.1233776820654,6.50647242779331,7.09002990534665,4.23521627730903e-11,1.94053759629684e-07,14.7955915388801,"RAPH1","65059","Ras association (RalGDS/AF-6) and pleckstrin homology domains 1"
"1555920_at",3.26414826733664,6.49517322522021,7.06140069351166,4.95369994062135e-11,1.99507030284161e-07,14.6480714997142,"CBX3","11335","chromobox 3"
"231643_s_at",2.2680868968847,7.08953713811345,7.0544372027306,5.14591256858812e-11,1.99507030284161e-07,14.6122349910115,"CMIP","80790","c-Maf inducing protein"
"240392_at",3.8288361737652,6.12645230619118,7.01365761291411,6.42868532659326e-11,2.23865357408351e-07,14.4027240272857,NA,NA,NA
"239035_at",2.19758699628234,8.28746716558482,7.00710049937475,6.66252725367606e-11,2.23865357408351e-07,14.3690927781539,"MTHFR","4524","methylenetetrahydrofolate reductase"
"243826_at",3.00439192860626,6.41072546645639,6.96864399397939,8.21296055729472e-11,2.58713390655132e-07,14.1721701808582,NA,NA,NA
"222633_at",2.62303596082634,10.3725016106395,6.85229984644223,1.54125233044544e-10,4.25581618164457e-07,13.579789800278,"TBL1XR1","79718","TBL1X/Y related 1"
"239833_at",3.51660291811833,6.59718764474406,6.84980351464526,1.56211912650648e-10,4.25581618164457e-07,13.5671359021032,NA,NA,NA
"220828_s_at",3.33057204393914,6.06430436881873,6.8447234176447,1.60544786665817e-10,4.25581618164457e-07,13.5413923190692,"LINC01949","55338","long intergenic non-protein coding RNA 1949"
"210371_s_at",-2.05317922233475,6.83551317591799,-6.82732306604001,1.76303503249231e-10,4.25581618164457e-07,13.4532908960416,"RBBP4","5928","RB binding protein 4, chromatin remodeling factor"
"206864_s_at",2.82866942658304,7.72895355576473,6.82625170868936,1.77322155938446e-10,4.25581618164457e-07,13.4478702305844,"HRK","8739","harakiri, BCL2 interacting protein"
"242066_at",3.81432101896667,5.1711302674554,6.74583659510198,2.72894654390158e-10,6.25189248905379e-07,13.0422794458897,NA,NA,NA
